"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP (C = 0.5)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","53","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.5)","59","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.5)","25","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","57","MCTS LP (C = 0.5)","33","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","36","MCTS LP (C = 0.5)","58","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.5)","54","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.5)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","54","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","42","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","74","MCTS LP (C = 0.5)","26","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.5)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.5)","45","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","36","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.5)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","61","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","45","Tie"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.5)","60","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.5)","56","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","31","MCTS LP (C = 0.5)","41","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","31","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","58","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","45","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.5)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","34","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","58","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.5)","46","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","36","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","56","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.5)","34","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.5)","63","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","47","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.5)","44","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.5)","36","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","55","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.5)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","46","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","56","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.5)","35","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","60","MCTS LP (C = 0.5)","33","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","67","MCTS LP (C = 0.5)","32","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.5)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.5)","53","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","35","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","36","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","31","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","47","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.5)","43","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","59","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.5)","56","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","57","MCTS LP (C = 0.5)","33","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","27","MCTS LP (C = 0.5)","63","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","46","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","44","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","53","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","45","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","55","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","31","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.5)","58","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","59","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.5)","53","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.5)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","30","MCTS LP (C = 0.5)","59","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","47","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","34","MCTS LP (C = 0.5)","44","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","49","Tie"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","36","MCTS LP (C = 0.5)","56","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","58","MCTS LP (C = 0.5)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","54","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","59","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.5)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","45","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.5)","47","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.5)","48","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","49","Tie"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","57","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","49","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","53","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","51","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","36","MCTS LP (C = 0.5)","53","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.5)","32","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","43","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.5)","47","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.5)","49","Tie"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.5)","55","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.5)","50","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","34","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.5)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP (C = 0.5)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.5)","53","MCTS LP (C = 0.5)"
"MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP (C = 0.5)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.5)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.5)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.5)","52","MCTS LP (C = 0.5)"
