"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","57","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.9)","46","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","34","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","47","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","44","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","34","MCTS LP (C = 0.9)","59","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","54","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","45","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","55","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","49","Tie"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","45","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","49","Tie"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","36","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","46","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","47","Tie"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.9)","54","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","47","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","57","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","47","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","53","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","33","MCTS LP (C = 0.9)","64","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","45","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","57","MCTS LP (C = 0.9)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","57","MCTS LP (C = 0.9)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.9)","54","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","46","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","55","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.9)","53","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.9)","44","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","31","MCTS LP (C = 0.9)","62","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 0.9)","39","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","33","MCTS LP (C = 0.9)","47","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","54","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","57","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.9)","53","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","45","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","47","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","56","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","43","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","44","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","59","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","46","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.9)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","36","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","32","MCTS LP (C = 0.9)","61","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","60","MCTS LP (C = 0.9)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.9)","43","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","47","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","56","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.9)","55","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.9)","54","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","59","MCTS LP (C = 0.9)","34","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 0.9)","53","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","53","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","59","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","60","MCTS LP (C = 0.9)","34","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","55","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","34","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","48","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","47","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","50","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","64","MCTS LP (C = 0.9)","29","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 0.9)","53","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.9)","44","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","49","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","54","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 0.9)","46","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 0.9)","56","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP (C = 0.9)","38","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","57","MCTS LP (C = 0.9)","39","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","57","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 0.9)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 0.9)","51","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","57","MCTS LP (C = 0.9)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 0.9)","52","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 0.9)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.9)","43","MCTS LP (C = 0.9)"
"MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 0.9)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 0.9)","44","MCTS LP (C = 0.9)"
